char_code	char	start	width	advance	glyph_ptr	half_res	glyph_data_hex
0xAA	¬	4	15	5	0x80F884	1	0400 0400 0400 0400 0400 0400 07C0 07C0
0xAB	½	2	19	3	0x0F894	0	0200 0000 0200 0043 4204 00C1 420C 0081 FE08 0081 FE18 0081 0210 00E1 0210 0063 0200 0000 0200
0xAC	¼	2	19	3	0x0F8BA	0	0200 0000 0218 0000 0228 4000 0249 4000 0289 FC00 02FF FC00 02FE 0001 0208 0001 0208 0000 0200
0xAD	¡	9	5	10	0x0F8E0	0	0800 141E 08E1 141E 0800
0xAE	«	2	20	2	0x0F8EA	0	0100 0000 0380 0000 06C0 0000 0C60 0000 1830 0100 3018 0380 0000 06C0 0000 0C60 0000 1830 0000 3018
0xAF	»	2	20	2	0x0F912	0	3018 0000 1830 0000 0C60 0000 06C0 0000 0380 3018 0100 1830 0000 0C60 0000 06C0 0000 0380 0000 0100
0xB0		0	0	0	0x00000	0	
0xB1		0	0	0	0x00000	0	
0xB2		0	0	0	0x00000	0	
0xB3		0	0	0	0x00000	0	
0xB4		0	0	0	0x00000	0	
0xB5		0	0	0	0x00000	0	
0xB6		0	0	0	0x00000	0	
0xB7		0	0	0	0x00000	0	
0xB8		0	0	0	0x00000	0	
0xB9		0	0	0	0x00000	0	
0xBA		0	0	0	0x00000	0	
0xBB		0	0	0	0x00000	0	
0xBC		0	0	0	0x00000	0	
0xBD		0	0	0	0x00000	0	
0xBE		0	0	0	0x00000	0	
0xBF		0	0	0	0x00000	0	
0xC0		0	0	0	0x00000	0	
0xC1		0	0	0	0x00000	0	
0xC2		0	0	0	0x00000	0	
0xC3		0	0	0	0x00000	0	
0xC4		0	0	0	0x00000	0	
0xC5		0	0	0	0x00000	0	
0xC6		0	0	0	0x00000	0	
0xC7		0	0	0	0x00000	0	
0xC8		0	0	0	0x00000	0	
0xC9		0	0	0	0x00000	0	
0xCA		0	0	0	0x00000	0	
0xCB		0	0	0	0x00000	0	
0xCC		0	0	0	0x00000	0	
0xCD		0	0	0	0x00000	0	
0xCE		0	0	0	0x00000	0	
0xCF		0	0	0	0x00000	0	
0xD0		0	0	0	0x00000	0	
0xD1		0	0	0	0x00000	0	
0xD2		0	0	0	0x00000	0	
0xD3		0	0	0	0x00000	0	
0xD4		0	0	0	0x00000	0	
0xD5		0	0	0	0x00000	0	
0xD6		0	0	0	0x00000	0	
0xD7		0	0	0	0x00000	0	
0xD8		0	0	0	0x00000	0	
0xD9		0	0	0	0x00000	0	
0xDA		0	0	0	0x00000	0	
0xDB		0	0	0	0x00000	0	
0xDC		0	0	0	0x00000	0	
0xDD		0	0	0	0x00000	0	
0xDE		0	0	0	0x00000	0	
0xDF		0	0	0	0x00000	0	
0xE0	α	4	18	2	0x0F93A	0	01E0 0210 01E0 0618 0000 0C08 0000 0808 0000 0810 0000 07F0 0000 0FF8 0000 0008 0000 0010
0xE1	ß	3	19	2	0x0F95E	0	0004 0000 1FFC 2000 1FFC 2000 4000 0000 4000 0030 4200 0028 4200 0008 6600 1918 24E0 1910 00E0
0xE2	Γ	4	17	3	0x0F984	0	4008 0000 4008 3FF0 4008 3FF0 4008 0000 4008 0000 4008 0000 4000 0000 6000 0000 7C00
0xE3	π	2	19	3	0x0F9A6	0	0800 0000 0800 07F8 0800 07F8 0800 0000 0800 0000 0800 0000 0FF0 0000 0FF8 0000 0808 0000 0810
0xE4	Σ	4	17	3	0x0F9CC	0	4018 0000 6038 0000 7058 0800 5098 0C00 4318 0400 4218 0000 4018 0000 6038 0000 78F8
0xE5	σ	3	19	2	0x0F9EE	0	01C0 0220 05D0 0220 0C18 0000 0808 0000 0808 0000 0808 0410 0A20 05D0 0A20 01C0 0800 0000 0800
0xE6	µ	3	20	1	0x0FA14	0	0801 0000 0FFF 0000 0FEF 0010 0001 0008 0000 0008 0000 0008 0800 0010 0FE0 0008 0FF0 0008 0000 0008
0xE7	τ	3	17	4	0x0FA3C	0	0800 0000 0800 0000 0800 0000 0FF0 0000 0FF8 0000 0808 0000 0808 0000 0810 0020 0800
0xE8	Φ	2	19	3	0x0FA5E	0	0300 0480 0300 0CC0 4008 0840 4008 0840 77B8 0840 77B8 0840 4008 0840 4008 0CC0 0300 0480 0300
0xE9	Θ	4	16	4	0x0FA84	0	0F80 3060 4F90 3060 4218 8000 0208 8000 0208 8000 0208 C010 3260 4D90 3060 0F80
0xEA	Ω	2	19	3	0x0FAA4	0	0E38 1100 0E18 3100 0098 2000 4078 0000 4000 0000 4000 0000 4078 2000 0098 3100 0E18 1100 0E38
0xEB	δ	3	17	4	0x0FACA	0	00E0 0100 22F0 5100 2618 D800 0408 8800 0408 8000 0408 8200 2418 4100 22F0 0100 00E0
0xEC	∞	1	21	2	0x0FAEC	0	0780 0840 0780 1860 0000 1860 0000 1860 0000 0FC0 0000 0FC0 0000 1860 0000 1860 0000 1860 0780 0840 0780
0xED	φ	2	19	3	0x0FB16	0	01C0 0220 05D2 0224 0C08 0010 0808 0020 0848 0080 0908 0200 0808 0400 0818 1220 25D0 0220 01C0
0xEE	ε	5	15	4	0x0FB3C	0	03C0 0420 0BD0 0000 0DB0 0000 1998 0000 1998 0000 1998 0000 1998 0000 1998
0xEF	∩	3	17	4	0x0FB5A	0	0FF8 1000 2FF8 0000 3000 4000 2000 4000 2000 4000 2000 4000 3000 0000 2FF8 1000 0FF8
